inventory_id,warehouse_id,warehouse_city,warehouse_state,product_id,available_stock,reserved_stock,safety_stock,reorder_level,inventory_status,last_updated
INV000049,WH006,Salvador,BA,c3b7e4d83e530c27a8e6368296aece48,0,0,15,50,OUT_OF_STOCK,2018-12-29 03:00:00
INV000050,WH004,Curitiba,PR,c5d8079278e912d7e3b6beb48ecb56e8,15,14,15,50,LOW_STOCK,2018-10-30 07:00:00
INV000051,WH001,Sao Paulo,SP,5eaa343860dc445b3fd43d1b682809fd,223,4,20,50,IN_STOCK,2018-11-05 11:00:00
INV000052,WH006,Salvador,BA,b5cfb1d3c5e435a7a52227e08f220ee7,249,7,10,75,IN_STOCK,2018-11-03 05:00:00
INV000053,WH005,Porto Alegre,RS,334479e94cba98064050db1c9636e244,0,0,10,40,OUT_OF_STOCK,2018-11-25 11:00:00
INV000054,WH006,Salvador,BA,3fcd8dfe610c62edfb51de2630cd9ef4,365,7,30,50,IN_STOCK,2018-12-13 06:00:00
INV000055,WH003,Belo Horizonte,MG,4c8056caed5757810b9a68b83c3759e6,55,34,30,50,IN_STOCK,2018-12-25 06:00:00
INV000056,WH003,Belo Horizonte,MG,30e77af9e7759bbaa0305d2fbc605dc4,364,7,20,40,IN_STOCK,2018-11-08 16:00:00
INV000057,WH003,Belo Horizonte,MG,92bf5d2084dfbcb57d9db7838bac5cd0,251,35,20,40,IN_STOCK,2018-11-23 21:00:00
INV000058,WH004,Curitiba,PR,fdeb34a9f03fea7c3937dd62d1d0287e,350,19,30,30,IN_STOCK,2018-10-01 09:00:00
INV000059,WH003,Belo Horizonte,MG,1065dbb6b0bf03daaedab1236979e296,390,29,20,75,IN_STOCK,2018-12-26 06:00:00
INV000060,WH005,Porto Alegre,RS,0d826eba8e0a2ae3bca9e3a947dd756d,372,18,10,30,IN_STOCK,2018-12-21 19:00:00
INV000061,WH003,Belo Horizonte,MG,f8f6fd145cc00519283cf3100477b2b3,379,14,20,30,IN_STOCK,2018-10-19 00:00:00
INV000062,WH001,Sao Paulo,SP,4e04ffb7dd3739ecfc37de8927dd586c,367,29,10,50,IN_STOCK,2018-12-20 18:00:00
INV000063,WH002,Rio de Janeiro,RJ,36555a2f528d7b2a255c504191445d39,308,15,25,50,IN_STOCK,2018-12-28 00:00:00
INV000064,WH001,Sao Paulo,SP,22937a73f92a33040ab4e2540355a5d8,125,29,30,30,IN_STOCK,2018-11-01 03:00:00
INV000065,WH004,Curitiba,PR,dc21247da0290904ffbbcd5953c76f95,396,35,30,50,IN_STOCK,2018-11-26 19:00:00
INV000066,WH006,Salvador,BA,9020ce7adcc384b2899ae87ddc54767b,36,10,25,50,LOW_STOCK,2018-11-30 14:00:00
INV000067,WH003,Belo Horizonte,MG,bfc1d1c62b1f7f401d8d9dda962bb870,437,31,30,40,IN_STOCK,2018-11-05 14:00:00
INV000068,WH001,Sao Paulo,SP,6fef6d87bb6c2eb11d57a967209219a8,174,20,20,30,IN_STOCK,2018-10-11 04:00:00
INV000069,WH002,Rio de Janeiro,RJ,1e5428c428e0f783acd6e3d94ba4ee2a,396,4,15,30,IN_STOCK,2018-11-12 17:00:00
INV000070,WH004,Curitiba,PR,94080f9219044d897195e2be145945dc,461,24,25,30,IN_STOCK,2018-12-14 22:00:00
INV000071,WH001,Sao Paulo,SP,d0389f20b3d11de54e1e4561df147683,49,0,25,75,LOW_STOCK,2018-11-08 12:00:00
INV000072,WH004,Curitiba,PR,3e9b58f1436820c248d3f98d7229bb14,489,14,30,75,IN_STOCK,2018-11-04 13:00:00
INV000073,WH004,Curitiba,PR,575c38b4c88fc7b35ef22fc8312bfe1b,387,10,25,40,IN_STOCK,2018-10-17 19:00:00
INV000074,WH005,Porto Alegre,RS,556702ebb73d3786a852ad3d5a8ad268,358,1,30,50,IN_STOCK,2018-11-24 04:00:00
INV000075,WH004,Curitiba,PR,a3a03c131926ec14d4c9f3ef03016b24,239,13,20,40,IN_STOCK,2018-11-13 12:00:00
INV000076,WH003,Belo Horizonte,MG,e586ebb6022265ae1eea38f46ffe3ead,184,30,10,50,IN_STOCK,2018-12-09 01:00:00
INV000077,WH003,Belo Horizonte,MG,278b3c6462e86b4556b99989513ddf73,424,1,10,20,IN_STOCK,2018-10-26 00:00:00
INV000078,WH005,Porto Alegre,RS,0d009643171aee696f4733340bc2fdd0,277,36,10,30,IN_STOCK,2018-11-29 22:00:00
INV000079,WH003,Belo Horizonte,MG,be1be330cf34043d1c40d6114cbd11b5,345,7,30,30,IN_STOCK,2018-10-21 09:00:00
INV000080,WH001,Sao Paulo,SP,07f01b6fcacc1b187a71e5074199db2d,339,25,25,40,IN_STOCK,2018-10-26 02:00:00
INV000081,WH005,Porto Alegre,RS,75b4372e69a42f8ae1d908c076f547b2,87,38,20,30,IN_STOCK,2018-12-12 01:00:00
INV000082,WH003,Belo Horizonte,MG,3569d4374a919941a50f57371b1dc93d,80,21,30,40,IN_STOCK,2018-11-23 15:00:00
INV000083,WH001,Sao Paulo,SP,a3c95dc653d9a279b160bc0179385ed1,370,9,25,40,IN_STOCK,2018-12-06 20:00:00
INV000084,WH003,Belo Horizonte,MG,0992c6cba95a13bfa68ea7d5e22d478b,476,29,25,75,IN_STOCK,2018-12-15 08:00:00
INV000085,WH003,Belo Horizonte,MG,b1eae565a61935e0011ee7682fef9dc9,9,3,25,20,LOW_STOCK,2018-12-12 19:00:00
INV000086,WH006,Salvador,BA,2734390ee304b0f4817b3c233094fc16,278,11,20,20,IN_STOCK,2018-11-15 08:00:00
INV000087,WH003,Belo Horizonte,MG,32ee3f4e2493045726807808d7abbab6,439,35,20,75,IN_STOCK,2018-10-25 02:00:00
INV000088,WH002,Rio de Janeiro,RJ,c2367eda4f9623d0355dc5d7796d857a,339,30,15,50,IN_STOCK,2018-12-02 14:00:00
INV000089,WH001,Sao Paulo,SP,7f34b85142d1ef9e077a0da9ada27385,242,19,15,30,IN_STOCK,2018-11-17 15:00:00
INV000090,WH005,Porto Alegre,RS,c478b1bbf9ec8c5691f37ccb83187386,436,21,30,50,IN_STOCK,2018-11-28 08:00:00
INV000091,WH003,Belo Horizonte,MG,f9ecf420c38b90a8af8e7f70fd789264,394,20,15,20,IN_STOCK,2018-12-08 22:00:00
INV000092,WH002,Rio de Janeiro,RJ,3a6a0247ced9dcb444b46caafdcdd368,196,33,30,50,IN_STOCK,2018-10-13 06:00:00
INV000093,WH003,Belo Horizonte,MG,adf591c625cb265c12bc6749d3a2f757,189,34,10,30,IN_STOCK,2018-10-06 01:00:00
INV000094,WH005,Porto Alegre,RS,3e0f398b664b26e3224c79dbf435191f,361,6,25,30,IN_STOCK,2018-12-13 09:00:00
INV000095,WH004,Curitiba,PR,64c8f1a52b407d92518a1f8b79240a70,139,16,10,40,IN_STOCK,2018-12-01 03:00:00
INV000096,WH001,Sao Paulo,SP,af16005fca813272caf59c432153949e,320,9,10,20,IN_STOCK,2018-12-12 09:00:00
INV000097,WH001,Sao Paulo,SP,e6a1ff3552ba3305c1cf0a4dde50347f,0,0,10,0,DISCONTINUED,2018-11-23 19:00:00
INV000098,WH005,Porto Alegre,RS,d8a405c732027a2af3187b031890933d,432,24,30,30,IN_STOCK,2018-11-26 09:00:00
INV000099,WH005,Porto Alegre,RS,ce94e3c41145e28428cdae952a1fd7f2,0,0,20,0,DISCONTINUED,2018-10-08 19:00:00
INV000100,WH006,Salvador,BA,3f0f8de616df6efb39a48f3c64eea974,355,16,15,30,IN_STOCK,2018-10-21 07:00:00
INV000101,WH002,Rio de Janeiro,RJ,6ddc95e87149457c4c5177b0a474a9ba,36,28,25,30,IN_STOCK,2018-11-30 09:00:00
INV000102,WH001,Sao Paulo,SP,a2e2851eae0aebb8ee4df32348b42e2b,404,4,25,40,IN_STOCK,2018-11-03 20:00:00
INV000103,WH005,Porto Alegre,RS,723f62c36c298037716bf60c0ad0df3a,252,34,10,30,IN_STOCK,2018-10-20 08:00:00
INV000104,WH002,Rio de Janeiro,RJ,b2b3503e675abbc07e278151da072ed2,440,38,20,30,IN_STOCK,2018-12-12 09:00:00
INV000105,WH004,Curitiba,PR,c18c01e09509a509e2b88d3ed40c580e,403,17,25,40,IN_STOCK,2018-12-03 14:00:00
INV000106,WH001,Sao Paulo,SP,a41e356c76fab66334f36de622ecbd3a,431,38,20,50,IN_STOCK,2018-10-12 07:00:00
INV000107,WH006,Salvador,BA,e7cad5e8ed9b92e788262ad710c33bd0,3,0,20,75,LOW_STOCK,2018-10-23 15:00:00
INV000108,WH005,Porto Alegre,RS,c33d78b97260227119fb2b71be168fca,137,27,30,40,IN_STOCK,2018-12-02 02:00:00
INV000109,WH004,Curitiba,PR,e8fd6f481db77b847e7ab93fa1510e7e,209,10,10,40,IN_STOCK,2018-12-28 15:00:00
INV000110,WH003,Belo Horizonte,MG,67bea89008edcb996cfe4e3d062b62a8,471,2,30,50,IN_STOCK,2018-11-10 08:00:00
INV000111,WH003,Belo Horizonte,MG,e8e86cbab028363545a5bf0ca5e226ee,497,0,30,50,IN_STOCK,2018-12-09 14:00:00
INV000112,WH004,Curitiba,PR,c12b64bf0861a27e0f06c36ef82f457d,265,31,30,75,IN_STOCK,2018-10-07 06:00:00
INV000113,WH003,Belo Horizonte,MG,6f0169f259bb0ff432bfff7d829b9946,269,7,25,40,IN_STOCK,2018-12-20 19:00:00
INV000114,WH002,Rio de Janeiro,RJ,b6f3b8136ba8302906df7e11ff908751,327,35,10,40,IN_STOCK,2018-10-29 03:00:00
INV000115,WH004,Curitiba,PR,2be2be0a6a5916840503fdf50808ebcb,0,0,25,30,OUT_OF_STOCK,2018-11-07 16:00:00
INV000116,WH006,Salvador,BA,8efa775719397f78f79c8e5c7b0afbd4,296,29,15,50,IN_STOCK,2018-11-19 06:00:00
INV000117,WH005,Porto Alegre,RS,9e87e3ee09baee5f5c0513ff37bc60ab,477,17,10,30,IN_STOCK,2018-11-23 10:00:00
INV000118,WH005,Porto Alegre,RS,a0abcee0132a5aed003d98e459b37698,169,37,20,20,IN_STOCK,2018-12-24 15:00:00
INV000119,WH002,Rio de Janeiro,RJ,7f6308ba4057a6a740af7b4dcfb79c13,231,35,20,50,IN_STOCK,2018-11-18 14:00:00
INV000120,WH003,Belo Horizonte,MG,1eb4a9aee05c9cad041e09add2a26d68,19,7,25,30,LOW_STOCK,2018-11-22 01:00:00
INV000121,WH003,Belo Horizonte,MG,8da90b37f0fb171b4877c124f965b1f6,252,31,15,50,IN_STOCK,2018-10-17 16:00:00
INV000122,WH005,Porto Alegre,RS,712a72a78ffb66cb6eee87eebbf54519,472,6,25,20,IN_STOCK,2018-11-28 00:00:00
INV000123,WH006,Salvador,BA,c5fb7fbe39f4e09e048ffbc5b28db49a,73,16,25,30,IN_STOCK,2018-12-28 12:00:00
INV000124,WH006,Salvador,BA,f17b05cc8a7651896df8c30884200e9a,481,24,30,40,IN_STOCK,2018-12-20 22:00:00
INV000125,WH004,Curitiba,PR,55ec10b39713ee81ee2c5bcb558cf866,20,7,10,20,LOW_STOCK,2018-11-06 07:00:00
INV000126,WH006,Salvador,BA,c190c4fe582c5b7ffff586506de83f01,414,28,10,20,IN_STOCK,2018-11-08 00:00:00
INV000127,WH001,Sao Paulo,SP,f908df99196805b5bc4ada9ef510b11b,175,23,20,20,IN_STOCK,2018-11-01 16:00:00
INV000128,WH004,Curitiba,PR,ac5bae85a895724330c4acddd581b02b,122,5,15,30,IN_STOCK,2018-11-18 19:00:00
INV000129,WH006,Salvador,BA,d8dee61c2034d6d075997acef1870e9b,153,29,15,75,IN_STOCK,2018-11-28 08:00:00
INV000130,WH006,Salvador,BA,cbaff83e2c00a2b731d27276bbf52082,202,10,30,50,IN_STOCK,2018-11-14 18:00:00
INV000131,WH003,Belo Horizonte,MG,ad67f74682943e3857eebf3ca2538d1a,408,29,20,50,IN_STOCK,2018-10-26 12:00:00
INV000132,WH004,Curitiba,PR,1e12f1836c1f08b25ef78fcdf76fbf08,347,36,20,50,IN_STOCK,2018-12-29 09:00:00
INV000133,WH001,Sao Paulo,SP,acd427ee119d5c71c7a85ae488cb0a6a,0,0,25,0,DISCONTINUED,2018-12-12 21:00:00
INV000134,WH006,Salvador,BA,60cf4effb6947283fa638d570bd07318,0,0,30,0,DISCONTINUED,2018-11-06 07:00:00
INV000135,WH005,Porto Alegre,RS,51fed4afb1b41d00ad9d25a73b7fbbc7,21,19,15,30,LOW_STOCK,2018-12-24 21:00:00
INV000136,WH002,Rio de Janeiro,RJ,bb09cce52b336261572a5a7e25a33795,183,2,25,20,IN_STOCK,2018-10-17 02:00:00
INV000137,WH003,Belo Horizonte,MG,65a6462e42e05ab3b8dc613566736825,144,8,15,50,IN_STOCK,2018-11-16 16:00:00
INV000138,WH005,Porto Alegre,RS,f2396540fbfac27b5117f0dbd6744b50,9,4,25,30,LOW_STOCK,2018-11-13 03:00:00
INV000139,WH004,Curitiba,PR,70d1bd3a042448105a71d0b41ecbc96b,0,0,15,30,OUT_OF_STOCK,2018-12-26 12:00:00
INV000140,WH005,Porto Alegre,RS,0075c14603d80515e20908c156ceb47b,62,34,20,50,IN_STOCK,2018-11-17 21:00:00
INV000141,WH006,Salvador,BA,5a42f73d92034010a4e00360fb0df099,275,6,20,75,IN_STOCK,2018-11-30 00:00:00
INV000142,WH005,Porto Alegre,RS,bcd58b852a3b0152b6b384c4e4474ba2,42,14,30,75,LOW_STOCK,2018-12-21 14:00:00
INV000143,WH006,Salvador,BA,2bfb0bdbcea77da2879f0ef3be9a219e,114,2,15,50,IN_STOCK,2018-11-08 15:00:00
INV000144,WH001,Sao Paulo,SP,87fb220044e9aca16fbec51c6c997aa0,149,29,25,75,IN_STOCK,2018-12-29 17:00:00
INV000145,WH004,Curitiba,PR,484bf1dff778a416389aafd0dee1cb11,488,6,25,30,IN_STOCK,2018-12-18 13:00:00
INV000146,WH003,Belo Horizonte,MG,56139431d72cd51f19eb9f7dae4d1617,156,28,25,40,IN_STOCK,2018-11-16 03:00:00
INV000147,WH006,Salvador,BA,3cef8174403f4fdedbf24fa67fa9f132,76,17,25,40,IN_STOCK,2018-10-16 14:00:00
INV000148,WH001,Sao Paulo,SP,003938452c98ff9ab28e9e7b4bfe97ab,90,21,10,75,IN_STOCK,2018-10-17 18:00:00
INV000149,WH002,Rio de Janeiro,RJ,8d6cb00151d423c52855385c89f0bae8,186,13,30,75,IN_STOCK,2018-10-30 10:00:00
INV000150,WH002,Rio de Janeiro,RJ,5877301b00f95e3c6118738b293dfab3,81,9,20,75,IN_STOCK,2018-12-09 08:00:00
INV000151,WH002,Rio de Janeiro,RJ,e0bbe6292471ff5ab3752414baf78111,92,22,10,20,IN_STOCK,2018-10-31 18:00:00
INV000152,WH003,Belo Horizonte,MG,dd768d259ee6054e0dadd66c8e2be0b6,71,26,15,40,IN_STOCK,2018-10-09 15:00:00
INV000153,WH004,Curitiba,PR,fc2edee55f4118969f4dc49f7a717605,383,28,10,75,IN_STOCK,2018-12-18 01:00:00
INV000154,WH006,Salvador,BA,b521fddf2c8a7e7d1791bfb3c1b2f278,234,1,25,75,IN_STOCK,2018-12-01 12:00:00
INV000155,WH004,Curitiba,PR,46b48281eb6d663ced748f324108c733,419,4,25,50,IN_STOCK,2018-11-11 19:00:00
INV000156,WH002,Rio de Janeiro,RJ,db7e6804f1a8206a7e51c9a741a09d9e,364,35,30,40,IN_STOCK,2018-11-18 19:00:00
INV000157,WH005,Porto Alegre,RS,50556c630443502c11acde1c320fe278,389,6,25,75,IN_STOCK,2018-10-15 20:00:00
INV000158,WH006,Salvador,BA,88d2c501ec765f5d7e8038fa6aab0e62,28,14,25,75,LOW_STOCK,2018-11-22 10:00:00
INV000159,WH004,Curitiba,PR,722fb67c17907e21734449c091420bf5,185,20,25,20,IN_STOCK,2018-11-17 04:00:00
INV000160,WH006,Salvador,BA,43b6d9e46e1e6b8ac743a1c31e462937,0,0,10,20,OUT_OF_STOCK,2018-10-12 13:00:00
INV000161,WH001,Sao Paulo,SP,1ffe365aa7583189e63f2fa4f060b269,460,35,15,40,IN_STOCK,2018-12-11 17:00:00
INV000162,WH003,Belo Horizonte,MG,3014e35fd70fce29095ced5cdc89f4ce,236,3,25,50,IN_STOCK,2018-12-16 09:00:00
INV000163,WH003,Belo Horizonte,MG,e869d449cc32881790ef9af9b4c670f8,188,30,15,75,IN_STOCK,2018-10-14 11:00:00
INV000164,WH005,Porto Alegre,RS,a1b3a75aaaee5c9a683f2266c088f720,338,27,15,40,IN_STOCK,2018-12-19 19:00:00
INV000165,WH006,Salvador,BA,7fdbc1ecf5fdf5c98d9b14e110133eb3,336,1,20,20,IN_STOCK,2018-12-29 09:00:00
INV000166,WH003,Belo Horizonte,MG,15b3d40f375c0645c1eed4ed1cd8e17a,480,36,15,30,IN_STOCK,2018-10-09 04:00:00
INV000167,WH006,Salvador,BA,1cf39a397efa955b102a52ee7ec5531c,71,13,30,20,IN_STOCK,2018-11-28 10:00:00
INV000168,WH002,Rio de Janeiro,RJ,f9471562478eba8761bc985b968a0092,442,38,30,40,IN_STOCK,2018-10-07 04:00:00
INV000169,WH002,Rio de Janeiro,RJ,e96bac5656eaec25f3d76757fa16d9d3,370,17,10,20,IN_STOCK,2018-11-24 15:00:00
INV000170,WH005,Porto Alegre,RS,16b06ede456b922e56fbb4b3818aa875,155,7,30,40,IN_STOCK,2018-10-15 09:00:00
INV000171,WH006,Salvador,BA,c7147724cd430269c6296fc758c0a086,324,2,20,50,IN_STOCK,2018-12-16 01:00:00
INV000172,WH001,Sao Paulo,SP,dbb399a8be7395d5b136d49fcdce13df,427,16,15,30,IN_STOCK,2018-10-16 00:00:00
INV000173,WH004,Curitiba,PR,ed46d1fbd7bf78ce79910c09fb892abb,101,34,25,30,IN_STOCK,2018-12-04 17:00:00
INV000174,WH006,Salvador,BA,d458378a178cd7cae60052319cebf235,13,6,10,20,LOW_STOCK,2018-10-10 10:00:00
INV000175,WH005,Porto Alegre,RS,596363933adf57df745ecbc8afeec226,418,18,25,50,IN_STOCK,2018-10-03 10:00:00
INV000176,WH002,Rio de Janeiro,RJ,4473f3e5c65952b074ef987fa5c24662,59,5,20,75,LOW_STOCK,2018-10-14 07:00:00
INV000177,WH004,Curitiba,PR,8c9faf6aabee9b2a30b83f92d786f6de,120,19,25,75,IN_STOCK,2018-10-29 10:00:00
INV000178,WH002,Rio de Janeiro,RJ,8e71b24c3e25a92fef6176120a67fac7,296,12,30,20,IN_STOCK,2018-11-14 11:00:00
INV000179,WH006,Salvador,BA,828fe032935d7c1901682e5b6cc076c2,0,0,15,30,OUT_OF_STOCK,2018-11-02 06:00:00
INV000180,WH002,Rio de Janeiro,RJ,19502a282608c5627fb32e22724727fc,115,29,25,20,IN_STOCK,2018-12-14 14:00:00
INV000181,WH006,Salvador,BA,df473738565b52f77b4e22b328b41576,0,0,30,75,OUT_OF_STOCK,2018-12-20 10:00:00
INV000182,WH002,Rio de Janeiro,RJ,657491063e8a63247a108a4d9cedf020,281,17,20,50,IN_STOCK,2018-11-15 16:00:00
INV000183,WH001,Sao Paulo,SP,a388f2043ca885de714453e4fac616e2,74,23,10,50,IN_STOCK,2018-10-10 20:00:00
INV000184,WH001,Sao Paulo,SP,4c6018f41a6c2e5543cc034e94f5ce5b,276,37,25,75,IN_STOCK,2018-10-06 14:00:00
INV000185,WH005,Porto Alegre,RS,a85543a371d5cfafedb80a8177a692b5,354,32,25,40,IN_STOCK,2018-10-08 14:00:00
INV000186,WH001,Sao Paulo,SP,6b017e0d95d8765a6f2bed3bc272c61e,6,5,30,40,LOW_STOCK,2018-11-01 22:00:00
INV000187,WH004,Curitiba,PR,6d14f72afff32795290f2df6507f063c,0,0,30,0,DISCONTINUED,2018-10-21 11:00:00
INV000188,WH003,Belo Horizonte,MG,75b433ca888fe027b18dfac89a284667,27,21,20,50,LOW_STOCK,2018-12-20 20:00:00
INV000189,WH003,Belo Horizonte,MG,9aa70106d14b83c7ad033592870b2b30,310,18,25,20,IN_STOCK,2018-12-24 19:00:00
INV000190,WH002,Rio de Janeiro,RJ,42fe4aefc7e8a45dd96a59af81dd3fef,419,22,15,75,IN_STOCK,2018-12-23 22:00:00
INV000191,WH006,Salvador,BA,a04cf12934a318be6550b1aeab938bf2,442,19,10,75,IN_STOCK,2018-12-22 10:00:00
INV000192,WH002,Rio de Janeiro,RJ,224703229a7c966a5b191651e1561be2,127,32,25,75,IN_STOCK,2018-11-16 09:00:00
INV000193,WH002,Rio de Janeiro,RJ,43724b27731595d954e911f443fb1cc4,0,0,25,40,OUT_OF_STOCK,2018-10-18 04:00:00
INV000194,WH001,Sao Paulo,SP,b29ca3d3127057c43ef4b364bbe360ea,284,33,30,20,IN_STOCK,2018-11-13 19:00:00
INV000195,WH002,Rio de Janeiro,RJ,5e21d5cab5d33e770d8150a4ee6117db,118,39,15,30,IN_STOCK,2018-10-22 23:00:00
